Country,avg_gdp,avg_schooling
"Antigua and Barbuda",9759.2500,8.84375
"Equatorial Guinea",7902.3750,8.325
Montenegro,4676.5000,10.71875
Suriname,4781.3125,11.825
Maldives,3818.3750,12.000000000000002
Azerbaijan,3302.9375,11.35
Iraq,2656.9375,9.906249999999998
Namibia,3042.6250,11.549999999999999
Turkmenistan,2511.6875,9.831249999999999
Angola,1975.1875,8.043750000000001
Guatemala,2366.0000,9.862499999999999
Swaziland,2165.1875,10.35
China,2345.3125,11.4375
Vanuatu,2000.2500,10.568749999999998
Morocco,1936.5000,10.287500000000001
Sudan,1193.0000,6.374999999999998
Armenia,2000.0000,11.787500000000001
Guyana,1784.0625,10.787500000000001
Nigeria,1360.2500,9
Indonesia,1669.2500,11.6125
Bhutan,1354.1875,10.225000000000001
Honduras,1422.0000,10.887500000000001
Philippines,1397.2500,11.543750000000001
Kiribati,1175.4375,11.69375
"Marshall Islands",3618.0000,0
Tuvalu,3542.0000,0
